canonicalPrintingId,language,region,canonicalSetId,providerSetIds,collectorNumber,setTotal,providerCardIds,evidenceUsed,exactnessJustification,conflictFlags,auditClassification
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|100|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",100,102,"{""tcgdex"": ""base1-100""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-100"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|101|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",101,102,"{""tcgdex"": ""base1-101""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-101"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|102|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",102,102,"{""tcgdex"": ""base1-102""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-102"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",10,102,"{""tcgdex"": ""base1-10""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-10"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",11,102,"{""tcgdex"": ""base1-11""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-11"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",12,102,"{""tcgdex"": ""base1-12""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-12"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|13|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",13,102,"{""tcgdex"": ""base1-13""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-13"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|14|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",14,102,"{""tcgdex"": ""base1-14""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-14"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|15|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",15,102,"{""tcgdex"": ""base1-15""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-15"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|16|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",16,102,"{""tcgdex"": ""base1-16""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-16"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|17|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",17,102,"{""tcgdex"": ""base1-17""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-17"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|18|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",18,102,"{""tcgdex"": ""base1-18""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-18"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|19|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",19,102,"{""tcgdex"": ""base1-19""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-19"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",1,102,"{""tcgdex"": ""base1-1""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-1"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:41fc68b7bbfa2cd4|20|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:base1,"{""tcgdex"": ""base1""}",20,102,"{""tcgdex"": ""base1-20""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""base1-20"", ""providerSetId"": ""base1"", ""serieId"": ""base"", ""serieName"": ""Base"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|9|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",009,86,"{""tcgdex"": ""me04-009""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-009"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
pokemon|en|GLOBAL|set:61617aaa87a11426|99|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:me04,"{""tcgdex"": ""me04""}",099,86,"{""tcgdex"": ""me04-099""}","[{""provider"": ""tcgdex"", ""providerCardId"": ""me04-099"", ""providerSetId"": ""me04"", ""serieId"": ""me"", ""serieName"": ""Mega Evolution"", ""sourceLanguage"": ""en""}]",Explicit language-scoped provider card/set ID plus canonical set and collector identity; native name is corroborating only.,,exact_catalogue_record
