language,region,sets,canonicalPrintings,nativeNamesPresent,englishAliasesPresent,exactCollectorIdentityPresent,releaseDatesPresent,rarityPresent,providerIdsPresent,imageCandidatesPresent,verifiedImages,unresolvedRecords,ambiguousRecords,duplicateCandidates,providerExclusiveRecords,variantUnresolved
de,DE,150,19542,19542,0,19542,19542,0,19542,14436,0,13,0,0,19542,19542
en,GLOBAL,214,23323,23323,23323,23323,23323,0,23323,21738,0,32036,0,0,8938,23323
es,ES,151,15172,15172,0,15172,15172,0,15172,14121,0,43,0,0,15172,15172
es-419,LATAM,8,1329,1329,0,1329,1329,0,1329,1293,0,0,0,0,1329,1329
fr,FR,197,21434,21434,0,21434,21434,0,21434,18085,0,6,0,0,21434,21434
id,ID,70,2788,2788,0,2788,2788,0,2788,1152,0,47,0,0,2788,2788
it,IT,187,15234,15234,0,15234,15234,0,15234,14227,0,79,0,0,15234,15234
ja,JP,172,6246,6246,0,6246,6246,0,6246,3297,0,22027,0,0,6246,6246
ko,KR,95,239,239,0,239,239,0,239,0,0,92,0,0,239,239
nl,NL,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
pl,PL,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
pt-BR,BR,11,1124,1124,0,1124,1124,0,1124,1098,0,3,0,0,1124,1124
pt-PT,PT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ru,RU,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0
th,TH,72,2921,2921,0,2921,2921,0,2921,1224,0,42,0,0,2921,2921
zh-Hans,CN,56,877,877,0,877,877,0,877,0,0,49,1,2,877,877
zh-Hant,MULTI,98,7436,7436,0,7436,7436,0,7436,2146,0,15,0,0,7436,7436
