canonicalPrintingId,language,region,canonicalSetId,releaseYear,providers,cardType,promoStatus,gapReason,permissionState,credentialsRequired,identityState
pokemon|en|GLOBAL|set:e26992a7020c6d15|1|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|10|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|11|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|12|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|2|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|3|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|4|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|5|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|6|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|7|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
pokemon|en|GLOBAL|set:e26992a7020c6d15|8|unspecified,en,GLOBAL,pokemon|en|GLOBAL|tcgdex:2011bw,2011,tcgdex,unknown_not_exposed,not_identified_as_promo,provider_record_but_no_image,not_applicable_until_image_exists,False,exact_catalogue_record
